scoreName,instrumentName,pageName,pageNo,barName,barNo,timeSigNum,timeSigDenom,tempoBpm,tempoBeatValue,beatNo,startTimeMillis,durationTimeMillis,endTimeMillis,startBaseBeatUnits,durationBeatUnits,endBaseBeatUnits,xStartPxl,xEndPxl,yStartPxl,yEndPxl,isUpbeat,fileName,unitBeatNo
Ukodus,Piano,page1,1,bar2,2,5,4,100,4,9,5400,600,6000,19,2,21,330,362,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,19
Ukodus,Piano,page1,1,bar2,2,5,4,100,4,10,6000,600,6600,21,2,23,362,399,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,21
Ukodus,Piano,page1,1,bar3,3,5,4,100,4,11,6600,600,7200,23,2,25,399,431,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,23
Ukodus,Piano,page1,1,bar3,3,5,4,100,4,12,7200,600,7800,25,2,27,431,463,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,25
Ukodus,Piano,page1,1,bar3,3,5,4,100,4,13,7800,600,8400,27,2,29,463,495,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,27
Ukodus,Piano,page1,1,bar3,3,5,4,100,4,14,8400,600,9000,29,2,31,495,527,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,29
Ukodus,Piano,page1,1,bar3,3,5,4,100,4,15,9000,600,9600,31,2,33,527,564,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,31
Ukodus,Piano,page1,1,bar4,4,5,4,100,4,16,9600,600,10200,33,2,35,564,596,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,33
Ukodus,Piano,page1,1,bar4,4,5,4,100,4,17,10200,600,10800,35,2,37,596,628,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,35
Ukodus,Piano,page1,1,bar4,4,5,4,100,4,18,10800,600,11400,37,2,39,628,660,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,37
Ukodus,Piano,page1,1,bar4,4,5,4,100,4,19,11400,600,12000,39,2,41,660,692,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,39
Ukodus,Piano,page1,1,bar4,4,5,4,100,4,20,12000,600,12600,41,2,43,692,724,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_Piano_page1,41
Ukodus,FullScore,page2,2,bar4,4,5,4,100,4,20,12000,600,12600,41,2,43,32,69,100,100,1,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,41
Ukodus,FullScore,page2,2,bar5,5,5,4,100,4,21,12600,600,13200,43,2,45,69,101,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,43
Ukodus,FullScore,page2,2,bar5,5,5,4,100,4,22,13200,600,13800,45,2,47,101,133,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,45
Ukodus,FullScore,page2,2,bar5,5,5,4,100,4,23,13800,600,14400,47,2,49,133,165,100,100,0,/Volumes/DataDrive/Music/phd/scores/mcme/export/rsrc/Ukodus_FullScore_page2,47
